date,price,area,productivity,quantity
2012-04-11,11000,235.9,74.0,1746.1
2012-04-12,11000,235.9,74.0,1746.1
2012-04-13,11000,235.9,74.0,1746.1
2012-04-16,11000,235.9,74.0,1746.1
2012-04-17,11000,235.9,74.0,1746.1
2012-04-18,11000,235.9,74.0,1746.1
2012-04-19,11000,235.9,74.0,1746.1
2012-04-20,11000,235.9,74.0,1746.1
2012-04-23,11000,235.9,74.0,1746.1
2012-04-24,11000,235.9,74.0,1746.1
2012-04-25,11000,235.9,74.0,1746.1
2012-04-26,11000,235.9,74.0,1746.1
2012-04-27,11000,235.9,74.0,1746.1
2012-05-02,11000,235.9,74.0,1746.1
2012-05-03,11000,235.9,74.0,1746.1
2012-05-04,11000,235.9,74.0,1746.1
2012-05-07,11000,235.9,74.0,1746.1
2012-05-08,11000,235.9,74.0,1746.1
2012-05-09,11000,235.9,74.0,1746.1
2012-05-10,11000,235.9,74.0,1746.1
2012-05-11,11000,235.9,74.0,1746.1
2012-05-14,11000,235.9,74.0,1746.1
2012-05-15,11000,235.9,74.0,1746.1
2012-05-16,11000,235.9,74.0,1746.1
2012-05-17,11000,235.9,74.0,1746.1
2012-05-18,11000,235.9,74.0,1746.1
2012-05-21,11000,235.9,74.0,1746.1
2012-05-23,11000,235.9,74.0,1746.1
2012-05-25,11000,235.9,74.0,1746.1
2012-05-28,11000,235.9,74.0,1746.1
2012-06-05,11000,235.9,74.0,1746.1
2012-06-07,11000,235.9,74.0,1746.1
2012-06-08,11000,235.9,74.0,1746.1
2012-06-12,11000,235.9,74.0,1746.1
2012-06-13,11000,235.9,74.0,1746.1
2012-06-14,11000,235.9,74.0,1746.1
2012-06-15,11000,235.9,74.0,1746.1
2012-06-18,11000,235.9,74.0,1746.1
2012-06-20,11000,235.9,74.0,1746.1
2012-06-21,11000,235.9,74.0,1746.1
2012-06-22,11000,235.9,74.0,1746.1
2012-06-25,11000,235.9,74.0,1746.1
2012-06-26,11000,235.9,74.0,1746.1
2012-06-28,11000,235.9,74.0,1746.1
2012-07-02,11000,235.9,74.0,1746.1
2012-07-04,11000,235.9,74.0,1746.1
2012-07-05,11000,235.9,74.0,1746.1
2012-07-06,11000,235.9,74.0,1746.1
2012-07-09,11000,235.9,74.0,1746.1
2012-07-11,11000,235.9,74.0,1746.1
2012-07-12,11000,235.9,74.0,1746.1
2012-07-16,11000,235.9,74.0,1746.1
2012-07-17,11000,235.9,74.0,1746.1
2012-07-18,11000,235.9,74.0,1746.1
2012-07-19,11000,235.9,74.0,1746.1
2012-07-20,11000,235.9,74.0,1746.1
2012-07-23,11000,235.9,74.0,1746.1
2012-07-24,11000,235.9,74.0,1746.1
2012-07-25,11000,235.9,74.0,1746.1
2012-07-26,11000,235.9,74.0,1746.1
2012-07-27,11000,235.9,74.0,1746.1
